ENSG00000010379	ENSMUSG00000030108	ENSRNOG00000012876	ENSOCUG00000000003	ENSCPOG00000013744	ENSSTOG00000000918	ENSMLUG00000000435	ENSPVAG00000004771	ENSECAG00000013410	ENSCAFG00000015769	ENSMICG00000007883	ENSOGAG00000000310	ENSGGOG00000004892
ENSG00000129048	ENSMUSG00000079355	ENSRNOG00000011478	ENSOCUG00000016560	ENSCPOG00000006647	ENSSTOG00000027966	ENSMLUG00000000820	ENSPVAG00000012594	ENSECAG00000021174	ENSCAFG00000006392	ENSMICG00000005506	ENSOGAG00000007841	ENSGGOG00000014217
ENSG00000081307	ENSMUSG00000032557	ENSRNOG00000011027	ENSOCUG00000015750	ENSCPOG00000009930	ENSSTOG00000012163	ENSMLUG00000000821	ENSPVAG00000012598	ENSECAG00000021178	ENSCAFG00000006405	ENSMICG00000004450	ENSOGAG00000004863	ENSGGOG00000006095
ENSG00000144868	ENSMUSG00000042757	ENSRNOG00000010911	ENSOCUG00000015347	ENSCPOG00000027319	ENSSTOG00000027311	ENSMLUG00000026340	ENSPVAG00000012602	ENSECAG00000012889	ENSCAFG00000006414	ENSMICG00000000387	ENSOGAG00000026581	ENSGGOG00000003990
ENSG00000197121	ENSMUSG00000073678	ENSRNOG00000013388	ENSOCUG00000002192	ENSCPOG00000003177	ENSSTOG00000010633	ENSMLUG00000010784	ENSPVAG00000004908	ENSECAG00000019980	ENSCAFG00000010742	ENSMICG00000013824	ENSOGAG00000006311	ENSGGOG00000001785
ENSG00000170819	ENSMUSG00000032556	ENSRNOG00000010899	ENSOCUG00000015357	ENSCPOG00000009122	ENSSTOG00000013801	ENSMLUG00000017016	ENSPVAG00000012604	ENSECAG00000013287	ENSCAFG00000006428	ENSMICG00000000390	ENSOGAG00000002095	ENSGGOG00000003994
ENSG00000065413	ENSMUSG00000052331	ENSRNOG00000021384	ENSOCUG00000009183	ENSCPOG00000026494	ENSSTOG00000012130	ENSMLUG00000010842	ENSPVAG00000004916	ENSECAG00000008835	ENSCAFG00000010791	ENSMICG00000013853	ENSOGAG00000006314	ENSGGOG00000014558
ENSG00000169251	ENSMUSG00000027787	ENSRNOG00000009310	ENSOCUG00000017454	ENSCPOG00000005953	ENSSTOG00000001899	ENSMLUG00000000701	ENSPVAG00000003301	ENSECAG00000000188	ENSCAFG00000014352	ENSMICG00000015897	ENSOGAG00000014910	ENSGGOG00000007157
ENSG00000204767	ENSMUSG00000069911	ENSRNOG00000032329	ENSOCUG00000000834	ENSCPOG00000010850	ENSSTOG00000016521	ENSMLUG00000010342	ENSPVAG00000005973	ENSECAG00000018408	ENSCAFG00000023142	ENSMICG00000012565	ENSOGAG00000002809	ENSGGOG00000007822
ENSG00000168269	ENSMUSG00000047861	ENSRNOG00000006293	ENSOCUG00000000836	ENSCPOG00000019611	ENSSTOG00000016524	ENSMLUG00000027832	ENSPVAG00000005974	ENSECAG00000006873	ENSCAFG00000016968	ENSMICG00000012575	ENSOGAG00000032689	ENSGGOG00000015780
ENSG00000043462	ENSMUSG00000002699	ENSRNOG00000005620	ENSOCUG00000000534	ENSCPOG00000002851	ENSSTOG00000016525	ENSMLUG00000011482	ENSPVAG00000005975	ENSECAG00000021603	ENSCAFG00000016961	ENSMICG00000012579	ENSOGAG00000002810	ENSGGOG00000006590
ENSG00000115524	ENSMUSG00000025982	ENSRNOG00000013516	ENSOCUG00000012722	ENSCPOG00000009353	ENSSTOG00000011034	ENSMLUG00000000840	ENSPVAG00000008302	ENSECAG00000021657	ENSCAFG00000010826	ENSMICG00000013879	ENSOGAG00000000267	ENSGGOG00000009264
ENSG00000114200	ENSMUSG00000027792	ENSRNOG00000009826	ENSOCUG00000008068	ENSCPOG00000004998	ENSSTOG00000001223	ENSMLUG00000003979	ENSPVAG00000017191	ENSECAG00000000240	ENSCAFG00000014473	ENSMICG00000013494	ENSOGAG00000004839	ENSGGOG00000008798
ENSG00000169064	ENSMUSG00000034151	ENSRNOG00000009792	ENSOCUG00000016778	ENSCPOG00000004387	ENSSTOG00000028902	ENSMLUG00000013001	ENSPVAG00000001031	ENSECAG00000008429	ENSCAFG00000014517	ENSMICG00000001198	ENSOGAG00000002218	ENSGGOG00000023174
ENSG00000182132	ENSMUSG00000053519	ENSRNOG00000005365	ENSOCUG00000000540	ENSCPOG00000014295	ENSSTOG00000004193	ENSMLUG00000007694	ENSPVAG00000002206	ENSECAG00000019400	ENSCAFG00000016951	ENSMICG00000012622	ENSOGAG00000013599	ENSGGOG00000007280
ENSG00000154917	ENSMUSG00000032549	ENSRNOG00000009198	ENSOCUG00000009428	ENSCPOG00000001684	ENSSTOG00000014123	ENSMLUG00000005346	ENSPVAG00000011320	ENSECAG00000024691	ENSCAFG00000029052	ENSMICG00000009625	ENSOGAG00000005245	ENSGGOG00000028342
ENSG00000182923	ENSMUSG00000032534	ENSRNOG00000008410	ENSOCUG00000003796	ENSCPOG00000025906	ENSSTOG00000022823	ENSMLUG00000004448	ENSPVAG00000003489	ENSECAG00000010318	ENSCAFG00000006754	ENSMICG00000006386	ENSOGAG00000007092	ENSGGOG00000011927
ENSG00000174640	ENSMUSG00000032548	ENSRNOG00000009005	ENSOCUG00000000025	ENSCPOG00000004532	ENSSTOG00000006718	ENSMLUG00000005350	ENSPVAG00000011321	ENSECAG00000024948	ENSCAFG00000006695	ENSMICG00000009642	ENSOGAG00000005247	ENSGGOG00000010727
ENSG00000162944	ENSMUSG00000025978	ENSRNOG00000015594	ENSOCUG00000003993	ENSCPOG00000010463	ENSSTOG00000015446	ENSMLUG00000004991	ENSPVAG00000015266	ENSECAG00000021296	ENSCAFG00000010934	ENSMICG00000009026	ENSOGAG00000000275	ENSGGOG00000009318
ENSG00000145936	ENSMUSG00000020155	ENSRNOG00000005465	ENSOCUG00000000539	ENSCPOG00000002866	ENSSTOG00000021835	ENSMLUG00000005669	ENSPVAG00000002204	ENSECAG00000021360	ENSCAFG00000016956	ENSMICG00000012619	ENSOGAG00000016972	ENSGGOG00000007162
ENSG00000164438	ENSMUSG00000040610	ENSRNOG00000004976	ENSOCUG00000000918	ENSCPOG00000024190	ENSSTOG00000026927	ENSMLUG00000016783	ENSPVAG00000002210	ENSECAG00000007840	ENSCAFG00000016919	ENSMICG00000008843	ENSOGAG00000029862	ENSGGOG00000023662
ENSG00000163785	ENSMUSG00000032547	ENSRNOG00000008593	ENSOCUG00000017148	ENSCPOG00000005764	ENSSTOG00000000182	ENSMLUG00000016087	ENSPVAG00000010032	ENSECAG00000008462	ENSCAFG00000006715	ENSMICG00000004507	ENSOGAG00000000335	ENSGGOG00000007737
ENSG00000114209	ENSMUSG00000027835	ENSRNOG00000010147	ENSOCUG00000015413	ENSCPOG00000011955	ENSSTOG00000021273	ENSMLUG00000016978	ENSPVAG00000014525	ENSECAG00000017911	ENSCAFG00000014569	ENSMICG00000007004	ENSOGAG00000013887	ENSGGOG00000008621
ENSG00000115425	ENSMUSG00000026189	ENSRNOG00000015809	ENSOCUG00000006636	ENSCPOG00000011717	ENSSTOG00000013870	ENSMLUG00000013650	ENSPVAG00000015512	ENSECAG00000013131	ENSCAFG00000014368	ENSMICG00000014654	ENSOGAG00000004437	ENSGGOG00000015630
ENSG00000154928	ENSMUSG00000032537	ENSRNOG00000007865	ENSOCUG00000003812	ENSCPOG00000002021	ENSSTOG00000014868	ENSMLUG00000013071	ENSPVAG00000014227	ENSECAG00000013862	ENSCAFG00000006971	ENSMICG00000006404	ENSOGAG00000013210	ENSGGOG00000014106
ENSG00000079246	ENSMUSG00000026187	ENSRNOG00000016105	ENSOCUG00000006642	ENSCPOG00000012213	ENSSTOG00000006478	ENSMLUG00000013661	ENSPVAG00000014557	ENSECAG00000015940	ENSCAFG00000014390	ENSMICG00000008946	ENSOGAG00000001977	ENSGGOG00000011471
ENSG00000114019	ENSMUSG00000032531	ENSRNOG00000008487	ENSOCUG00000028052	ENSCPOG00000006741	ENSSTOG00000022688	ENSMLUG00000012651	ENSPVAG00000003483	ENSECAG00000009818	ENSCAFG00000006720	ENSMICG00000003546	ENSOGAG00000029681	ENSGGOG00000016809
ENSG00000174611	ENSMUSG00000035606	ENSRNOG00000008210	ENSOCUG00000003806	ENSCPOG00000011671	ENSSTOG00000022341	ENSMLUG00000004458	ENSPVAG00000003492	ENSECAG00000012650	ENSCAFG00000031234	ENSMICG00000006393	ENSOGAG00000007095	ENSGGOG00000007893
ENSG00000204764	ENSMUSG00000040594	ENSRNOG00000005042	ENSOCUG00000011100	ENSCPOG00000005628	ENSSTOG00000014700	ENSMLUG00000005680	ENSPVAG00000002209	ENSECAG00000008393	ENSCAFG00000016935	ENSMICG00000008808	ENSOGAG00000013609	ENSGGOG00000010374
ENSG00000173905	ENSMUSG00000034109	ENSRNOG00000024213	ENSOCUG00000005409	ENSCPOG00000015646	ENSSTOG00000007488	ENSMLUG00000016979	ENSPVAG00000006059	ENSECAG00000016693	ENSCAFG00000014599	ENSMICG00000015168	ENSOGAG00000007654	ENSGGOG00000005257
ENSG00000144583	ENSMUSG00000039372	ENSRNOG00000016472	ENSOCUG00000025107	ENSCPOG00000012224	ENSSTOG00000023104	ENSMLUG00000013680	ENSPVAG00000014559	ENSECAG00000007360	ENSCAFG00000014414	ENSMICG00000008960	ENSOGAG00000028676	ENSGGOG00000000174
ENSG00000115896	ENSMUSG00000038349	ENSRNOG00000032659	ENSOCUG00000013978	ENSCPOG00000011478	ENSSTOG00000026164	ENSMLUG00000002677	ENSPVAG00000015271	ENSECAG00000007274	ENSCAFG00000010953	ENSMICG00000011854	ENSOGAG00000011498	ENSGGOG00000001959
ENSG00000138375	ENSMUSG00000039354	ENSRNOG00000016503	ENSOCUG00000009891	ENSCPOG00000012231	ENSSTOG00000015621	ENSMLUG00000001370	ENSPVAG00000006101	ENSECAG00000007683	ENSCAFG00000014421	ENSMICG00000008967	ENSOGAG00000001980	ENSGGOG00000014815
ENSG00000119042	ENSMUSG00000038331	ENSRNOG00000010188	ENSOCUG00000009700	ENSCPOG00000015198	ENSSTOG00000024964	ENSMLUG00000001554	ENSPVAG00000012029	ENSECAG00000010043	ENSCAFG00000010971	ENSMICG00000009378	ENSOGAG00000006949	ENSGGOG00000014123
ENSG00000072803	ENSMUSG00000020271	ENSRNOG00000004395	ENSOCUG00000007739	ENSCPOG00000009582	ENSSTOG00000023506	ENSMLUG00000006302	ENSPVAG00000002369	ENSECAG00000011756	ENSCAFG00000016890	ENSMICG00000004512	ENSOGAG00000011988	ENSGGOG00000007880
ENSG00000115687	ENSMUSG00000026274	ENSRNOG00000016888	ENSOCUG00000024545	ENSCPOG00000006277	ENSSTOG00000016299	ENSMLUG00000005589	ENSPVAG00000000550	ENSECAG00000011785	ENSCAFG00000012846	ENSMICG00000013010	ENSOGAG00000000734	ENSGGOG00000012790
ENSG00000115461	ENSMUSG00000026185	ENSRNOG00000017206	ENSOCUG00000025513	ENSCPOG00000010072	ENSSTOG00000029182	ENSMLUG00000025891	ENSPVAG00000002563	ENSECAG00000013425	ENSCAFG00000014474	ENSMICG00000008995	ENSOGAG00000024780	ENSGGOG00000016946
ENSG00000174579	ENSMUSG00000066415	ENSRNOG00000023021	ENSOCUG00000001843	ENSCPOG00000002590	ENSSTOG00000019702	ENSMLUG00000006163	ENSPVAG00000000019	ENSECAG00000018187	ENSCAFG00000007069	ENSMICG00000000464	ENSOGAG00000030643	ENSGGOG00000000563
ENSG00000178074	ENSMUSG00000038323	ENSRNOG00000010185	ENSOCUG00000016473	ENSCPOG00000009934	ENSSTOG00000010553	ENSMLUG00000026751	ENSPVAG00000002201	ENSECAG00000014107	ENSCAFG00000011000	ENSMICG00000009393	ENSOGAG00000028317	ENSGGOG00000005649
ENSG00000114054	ENSMUSG00000032527	ENSRNOG00000015869	ENSOCUG00000010558	ENSCPOG00000011920	ENSSTOG00000013932	ENSMLUG00000010441	ENSPVAG00000000020	ENSECAG00000018515	ENSCAFG00000007170	ENSMICG00000000465	ENSOGAG00000006815	ENSGGOG00000005454
ENSG00000184378	ENSMUSG00000037737	ENSRNOG00000027908	ENSOCUG00000003248	ENSCPOG00000011636	ENSSTOG00000023356	ENSMLUG00000004591	ENSPVAG00000001735	ENSECAG00000016182	ENSCAFG00000014677	ENSMICG00000000607	ENSOGAG00000012835	ENSGGOG00000013412
ENSG00000113742	ENSMUSG00000020300	ENSRNOG00000033169	ENSOCUG00000008971	ENSCPOG00000015530	ENSSTOG00000020645	ENSMLUG00000014640	ENSPVAG00000007863	ENSECAG00000016921	ENSCAFG00000016761	ENSMICG00000002628	ENSOGAG00000004243	ENSGGOG00000010097
ENSG00000118017	ENSMUSG00000037953	ENSRNOG00000042649	ENSOCUG00000004002	ENSCPOG00000007671	ENSSTOG00000004427	ENSMLUG00000026105	ENSPVAG00000007711	ENSECAG00000013882	ENSCAFG00000029516	ENSMICG00000016054	ENSOGAG00000027444	ENSGGOG00000004560
ENSG00000138231	ENSMUSG00000032469	ENSRNOG00000014588	ENSOCUG00000015129	ENSCPOG00000006179	ENSSTOG00000007122	ENSMLUG00000026117	ENSPVAG00000007713	ENSECAG00000013920	ENSCAFG00000007501	ENSMICG00000016057	ENSOGAG00000033095	ENSGGOG00000004564
ENSG00000072786	ENSMUSG00000020272	ENSRNOG00000004217	ENSOCUG00000005098	ENSCPOG00000006502	ENSSTOG00000026208	ENSMLUG00000006311	ENSPVAG00000016251	ENSECAG00000016265	ENSCAFG00000016856	ENSMICG00000004517	ENSOGAG00000011991	ENSGGOG00000012427
ENSG00000188306	ENSMUSG00000027703	ENSRNOG00000009004	ENSOCUG00000003264	ENSCPOG00000011649	ENSSTOG00000015598	ENSMLUG00000004610	ENSPVAG00000001742	ENSECAG00000010677	ENSCAFG00000014726	ENSMICG00000000612	ENSOGAG00000030826	ENSGGOG00000015396
ENSG00000114098	ENSMUSG00000032468	ENSRNOG00000014521	ENSOCUG00000015134	ENSCPOG00000008104	ENSSTOG00000024081	ENSMLUG00000001644	ENSPVAG00000004759	ENSECAG00000014265	ENSCAFG00000007523	ENSMICG00000016079	ENSOGAG00000004029	ENSGGOG00000023535
ENSG00000115677	ENSMUSG00000034088	ENSRNOG00000031479	ENSOCUG00000012667	ENSCPOG00000006297	ENSSTOG00000013331	ENSMLUG00000005628	ENSPVAG00000000555	ENSECAG00000012829	ENSCAFG00000012913	ENSMICG00000004569	ENSOGAG00000000738	ENSGGOG00000004392
ENSG00000187033	ENSMUSG00000051860	ENSRNOG00000027995	ENSOCUG00000008711	ENSCPOG00000025571	ENSSTOG00000003350	ENSMLUG00000003960	ENSPVAG00000001746	ENSECAG00000014004	ENSCAFG00000014755	ENSMICG00000000616	ENSOGAG00000008944	ENSGGOG00000007455
ENSG00000196141	ENSMUSG00000038305	ENSRNOG00000016012	ENSOCUG00000011549	ENSCPOG00000003190	ENSSTOG00000024884	ENSMLUG00000006594	ENSPVAG00000001488	ENSECAG00000018564	ENSCAFG00000011015	ENSMICG00000003956	ENSOGAG00000012331	ENSGGOG00000005917
ENSG00000013441	ENSMUSG00000026034	ENSRNOG00000025768	ENSOCUG00000010653	ENSCPOG00000027067	ENSSTOG00000009578	ENSMLUG00000000344	ENSPVAG00000008112	ENSECAG00000015355	ENSCAFG00000011929	ENSMICG00000003361	ENSOGAG00000012328	ENSGGOG00000016192
ENSG00000170091	ENSMUSG00000020297	ENSRNOG00000020644	ENSOCUG00000003158	ENSCPOG00000010869	ENSSTOG00000011148	ENSMLUG00000014650	ENSPVAG00000007864	ENSECAG00000013801	ENSCAFG00000030421	ENSMICG00000017669	ENSOGAG00000010238	ENSGGOG00000012927
ENSG00000168246	ENSMUSG00000044949	ENSRNOG00000004137	ENSOCUG00000005108	ENSCPOG00000013065	ENSSTOG00000014298	ENSMLUG00000003394	ENSPVAG00000001581	ENSECAG00000015287	ENSCAFG00000016829	ENSMICG00000004529	ENSOGAG00000011997	ENSGGOG00000013913
ENSG00000120149	ENSMUSG00000021469	ENSRNOG00000018355	ENSOCUG00000009161	ENSCPOG00000003596	ENSSTOG00000000399	ENSMLUG00000017046	ENSPVAG00000006409	ENSECAG00000011749	ENSCAFG00000016731	ENSMICG00000009858	ENSOGAG00000032139	ENSGGOG00000025973
ENSG00000173889	ENSMUSG00000037652	ENSRNOG00000009491	ENSOCUG00000013120	ENSCPOG00000005870	ENSSTOG00000002796	ENSMLUG00000002575	ENSPVAG00000014371	ENSECAG00000006043	ENSCAFG00000014786	ENSMICG00000001090	ENSOGAG00000008954	ENSGGOG00000001986
ENSG00000184845	ENSMUSG00000021478	ENSRNOG00000023688	ENSOCUG00000004825	ENSCPOG00000009501	ENSSTOG00000029229	ENSMLUG00000017069	ENSPVAG00000014124	ENSECAG00000011620	ENSCAFG00000016726	ENSMICG00000000124	ENSOGAG00000000909	ENSGGOG00000024972
ENSG00000163466	ENSMUSG00000006304	ENSRNOG00000014289	ENSOCUG00000005516	ENSCPOG00000002124	ENSSTOG00000015172	ENSMLUG00000009482	ENSPVAG00000017133	ENSECAG00000011456	ENSCAFG00000014618	ENSMICG00000006821	ENSOGAG00000030054	ENSGGOG00000008425
ENSG00000168385	ENSMUSG00000026276	ENSRNOG00000017952	ENSOCUG00000015500	ENSCPOG00000013687	ENSSTOG00000013357	ENSMLUG00000007108	ENSPVAG00000000558	ENSECAG00000017553	ENSCAFG00000012960	ENSMICG00000000909	ENSOGAG00000004457	ENSGGOG00000004597
ENSG00000155729	ENSMUSG00000054770	ENSRNOG00000027091	ENSOCUG00000011556	ENSCPOG00000012077	ENSSTOG00000007119	ENSMLUG00000006605	ENSPVAG00000001489	ENSECAG00000001039	ENSCAFG00000011061	ENSMICG00000003963	ENSOGAG00000012335	ENSGGOG00000014079
ENSG00000127837	ENSMUSG00000006299	ENSRNOG00000014399	ENSOCUG00000023014	ENSCPOG00000002128	ENSSTOG00000012960	ENSMLUG00000004115	ENSPVAG00000017136	ENSECAG00000014821	ENSCAFG00000014625	ENSMICG00000006828	ENSOGAG00000001788	ENSGGOG00000006883
ENSG00000113749	ENSMUSG00000034987	ENSRNOG00000018260	ENSOCUG00000011627	ENSCPOG00000003473	ENSSTOG00000007422	ENSMLUG00000007517	ENSPVAG00000014807	ENSECAG00000016581	ENSCAFG00000016718	ENSMICG00000003318	ENSOGAG00000030497	ENSGGOG00000010675
